Feature,Coefficient,Abs_Coefficient,Correlation_with_Target,Abs_Correlation
AP001363.2,-0.01570588355359568,0.01570588355359568,-0.295354525803483,0.295354525803483
F3,-0.015646042812455813,0.015646042812455813,-0.25944918196744843,0.25944918196744843
AC005520.4,-0.015624345481595477,0.015624345481595477,-0.23501971119575266,0.23501971119575266
AC131281.1,-0.0156141819255296,0.0156141819255296,-0.16969639596284453,0.16969639596284453
HOXD10,-0.015531628036024037,0.015531628036024037,-0.22185393114046664,0.22185393114046664
PODN,-0.01529346901684353,0.01529346901684353,-0.2957122691094343,0.2957122691094343
AL603839.3,-0.01522935046450119,0.01522935046450119,-0.2518545362542373,0.2518545362542373
CACNG5,-0.0151304141752727,0.0151304141752727,-0.27915642661347423,0.27915642661347423
RPL9P28,0.015090859364800691,0.015090859364800691,0.18510140128565802,0.18510140128565802
AL592293.1,-0.014959819375565614,0.014959819375565614,-0.16868057610516185,0.16868057610516185
IGFBP6,-0.014927990155628854,0.014927990155628854,-0.18218034191353705,0.18218034191353705
MIR7111,-0.01475895946173725,0.01475895946173725,-0.18142640483908265,0.18142640483908265
MYOZ1,-0.01467265425905278,0.01467265425905278,-0.1837454597105585,0.1837454597105585
AC087627.1,0.014632391496074358,0.014632391496074358,0.2093723734567518,0.2093723734567518
AL353705.3,-0.01454643400275155,0.01454643400275155,-0.17998403567991653,0.17998403567991653
METTL1,-0.01454275283617281,0.01454275283617281,-0.2593965807980647,0.2593965807980647
ZNF300P1,-0.01451391548642072,0.01451391548642072,-0.2375681081032282,0.2375681081032282
C11orf96,0.014478938953368404,0.014478938953368404,-0.1722275350819316,0.1722275350819316
AC005899.7,-0.014432794145620577,0.014432794145620577,-0.22184652023752707,0.22184652023752707
TCFL5,0.014192687207042518,0.014192687207042518,0.17545269661296864,0.17545269661296864
WNT5A,0.01400198656063043,0.01400198656063043,0.179655142578894,0.179655142578894
RNA5SP490,0.013941737162777993,0.013941737162777993,0.25741365110637576,0.25741365110637576
TBC1D30,-0.013898183013777102,0.013898183013777102,-0.3574279097656003,0.3574279097656003
AC010970.1,-0.013884585475553397,0.013884585475553397,-0.18216486668941886,0.18216486668941886
RN7SL752P,-0.01388189828784008,0.01388189828784008,-0.27005001465832373,0.27005001465832373
GSTT2,-0.013821921670571441,0.013821921670571441,-0.2000959868312215,0.2000959868312215
ADAMTS16,-0.013794904065496886,0.013794904065496886,-0.18501287744126294,0.18501287744126294
KAT7P1,0.013773377610027953,0.013773377610027953,0.25323772458293653,0.25323772458293653
CCT6P2,0.013734067506563424,0.013734067506563424,0.18071194565154847,0.18071194565154847
CBX3P9,0.013629912653069768,0.013629912653069768,0.17683389385474643,0.17683389385474643
AC127024.6,0.013588738226601248,0.013588738226601248,-0.16900862207911818,0.16900862207911818
TAS2R19,-0.013578839276160489,0.013578839276160489,-0.22981142916803335,0.22981142916803335
AL080316.1,-0.013563189504206718,0.013563189504206718,-0.19664004119787792,0.19664004119787792
NDUFB1P1,-0.013502824325903856,0.013502824325903856,-0.18641108518522168,0.18641108518522168
GPR89A,-0.013477386265218882,0.013477386265218882,-0.2282652487610246,0.2282652487610246
RUFY2,0.013454146534467375,0.013454146534467375,0.178716608334673,0.178716608334673
SASH1,0.013451595923892418,0.013451595923892418,0.1868998382958798,0.1868998382958798
AC087442.1,-0.01340516571853151,0.01340516571853151,-0.23021069457938284,0.23021069457938284
RN7SL4P,-0.013402632608668792,0.013402632608668792,-0.18626547401210164,0.18626547401210164
GAPDHP44,-0.01323003432069515,0.01323003432069515,-0.2171286815216109,0.2171286815216109
RPLP1P6,-0.013220287212415163,0.013220287212415163,-0.23261233817680899,0.23261233817680899
GGTLC4P,-0.01319850246915856,0.01319850246915856,-0.2064963622870951,0.2064963622870951
AC083837.1,-0.013134297507621165,0.013134297507621165,-0.1805964553474554,0.1805964553474554
CYP39A1,-0.013128269120211849,0.013128269120211849,0.17356338103592406,0.17356338103592406
