Feature,LR_Coefficient,LR_Abs,RF_Importance
PLPP5,0.0443203315220235,0.0443203315220235,0.00028327671031342006
RN7SL767P,0.044284782837171924,0.044284782837171924,0.00017227385638460366
SLC18B1,0.044260970131671316,0.044260970131671316,0.0003320642773238322
TSHZ2,-0.044133499848865984,0.044133499848865984,0.0009817385534926682
TSPAN13,-0.04412046840524049,0.04412046840524049,0.00057397705653461
AC097537.1,-0.04411331029458546,0.04411331029458546,0.0025670624732134152
RNU6-689P,-0.04394254686770738,0.04394254686770738,0.0005357712772764664
ITGA4,-0.04364992062928574,0.04364992062928574,0.0015179624072013905
AC126773.4,-0.04360985550371566,0.04360985550371566,0.0026049090302362582
AC002059.1,0.04342382232415951,0.04342382232415951,0.0006072355860955546
AC011503.2,-0.043182479236428546,0.043182479236428546,0.00033146210365847414
SMIM29,0.04313437454011698,0.04313437454011698,0.0
RAB30-DT,-0.04313299178767463,0.04313299178767463,0.0002799576076024149
AC004980.3,-0.04312229121574544,0.04312229121574544,0.0005849731455339892
AC087491.1,0.043014464216472655,0.043014464216472655,0.0004254589984542277
EFHB,-0.04297517019293126,0.04297517019293126,0.00041778895053487075
GFRA1,-0.04296786346859057,0.04296786346859057,0.0008051810742516637
AC105942.1,0.042910493445447305,0.042910493445447305,0.00018041415012942134
AC116345.4,-0.04287519758728648,0.04287519758728648,0.00032298727717822184
AC021188.1,-0.04280231632533311,0.04280231632533311,0.0005396421385903797
CMTM2,0.0427938915057569,0.0427938915057569,0.0005193767886053366
RENBP,0.04275686712246963,0.04275686712246963,0.0028074325129372316
BX293535.1,-0.04274577090099907,0.04274577090099907,0.00019205472244146222
ABCC4,0.04271609139588083,0.04271609139588083,0.0016089147183580737
ACRV1,-0.04269373967627321,0.04269373967627321,0.00364092769120313
AC084117.1,-0.042651811685683105,0.042651811685683105,0.0
AC072052.1,0.04253173885382612,0.04253173885382612,0.0
AL583805.1,-0.042496168119236316,0.042496168119236316,0.001732079602524869
AL136304.1,0.04235934267593579,0.04235934267593579,0.002843408337057034
RPL13AP7,-0.04227982772592953,0.04227982772592953,0.0022712334401680944
PYM1,0.04221054748491112,0.04221054748491112,0.001237105685211378
MYLK-AS1,-0.04217541782437746,0.04217541782437746,0.0027456698323139778
VPS13B-DT,0.042098384718443654,0.042098384718443654,0.0007217024015258716
AC012442.2,-0.04202896868241628,0.04202896868241628,0.0008922677175912441
RNU6-353P,0.04196735799522378,0.04196735799522378,2.1468090128970502e-18
VSTM2L,0.04185692492546215,0.04185692492546215,0.0
AC068338.3,-0.041827593295220254,0.041827593295220254,0.0001698645210095589
ZBTB33,0.04181997704804242,0.04181997704804242,0.0018859365577626034
MXRA8,0.04168453864721962,0.04168453864721962,0.0010834816422150677
RDM1,-0.041680047686516286,0.041680047686516286,0.0034199467451507533
CXCL2,0.04167346925565799,0.04167346925565799,0.0004047753584841235
THY1,-0.04159165853128891,0.04159165853128891,0.0006853387275944861
AL117328.1,0.04140884232465771,0.04140884232465771,0.0005137000961755122
HMX1,-0.04140161041346231,0.04140161041346231,0.0027272132014143436
EYA1,-0.04128540230595119,0.04128540230595119,0.000823728463291061
AC067852.2,0.04112486791543335,0.04112486791543335,0.0
LINC02361,-0.04111919055615642,0.04111919055615642,0.0007485402120104423
