Feature,Coefficient_full_dataset,Abs_Coefficient_full_dataset,Coefficient_filtered_dataset,Abs_Coefficient_filtered_dataset
ALKAL2,0.07952538416451911,0.07952538416451911,0.06803928625458691,0.06803928625458691
TMEFF2,0.07914505738295999,0.07914505738295999,0.017219614572255827,0.017219614572255827
AC009974.1,-0.07898364442883486,0.07898364442883486,-0.005055564864128839,0.005055564864128839
RPSAP46,-0.07871902702372088,0.07871902702372088,-0.03068072860934473,0.03068072860934473
MED10,0.07861465292993108,0.07861465292993108,0.03498431761324315,0.03498431761324315
DERL2,0.07833326524396031,0.07833326524396031,0.011715324992637728,0.011715324992637728
ITGA3,-0.07827523630997692,0.07827523630997692,-0.02722658759786966,0.02722658759786966
AC026410.1,0.07786890664240477,0.07786890664240477,0.08666859798508494,0.08666859798508494
AC012254.1,-0.07778447165171312,0.07778447165171312,-0.07352750327950891,0.07352750327950891
ERO1A,-0.07777745405862548,0.07777745405862548,-0.018065448639163022,0.018065448639163022
HOXD10,0.07774173947736898,0.07774173947736898,0.03544947107601825,0.03544947107601825
ZFP69,0.07765138453379342,0.07765138453379342,0.0563815878104658,0.0563815878104658
TSPAN13,-0.07710080889603034,0.07710080889603034,-0.05436264600674441,0.05436264600674441
AC244034.1,-0.07709067128023428,0.07709067128023428,-0.009934891625818832,0.009934891625818832
AC079760.1,-0.07668119800278246,0.07668119800278246,-0.002019186974806401,0.002019186974806401
PPARG,-0.07665763364196052,0.07665763364196052,0.007553939290682229,0.007553939290682229
TCTA,0.07654841540297842,0.07654841540297842,0.016466567606017224,0.016466567606017224
TXNIP,0.07652823996440679,0.07652823996440679,0.04939044067989857,0.04939044067989857
LINC01638,0.07614612071139704,0.07614612071139704,0.009985288352141899,0.009985288352141899
KCNK10,0.07612509558733595,0.07612509558733595,0.02622984607914906,0.02622984607914906
PTPRN,-0.07586324710099687,0.07586324710099687,-0.02699358243215533,0.02699358243215533
RAB27B,0.07582424666750462,0.07582424666750462,0.047867210564026534,0.047867210564026534
C15orf48,-0.07545548442069001,0.07545548442069001,0.017501712160296237,0.017501712160296237
RNU6-97P,-0.07535770278582735,0.07535770278582735,-0.04477605169051342,0.04477605169051342
NDN,-0.07519670143950045,0.07519670143950045,0.012814163432978181,0.012814163432978181
CKS1BP7,0.07511446081759086,0.07511446081759086,0.027321772109343296,0.027321772109343296
TBX5,-0.07510628532529884,0.07510628532529884,0.002440116434353361,0.002440116434353361
RPS12P23,0.07510245647341372,0.07510245647341372,0.02398713887424712,0.02398713887424712
AL512785.1,-0.07476076783074581,0.07476076783074581,0.01965409743509925,0.01965409743509925
MGAT5B,0.0742969180135807,0.0742969180135807,-0.01108779500069216,0.01108779500069216
AC005730.2,0.07369734674880389,0.07369734674880389,0.04258437268998583,0.04258437268998583
PGBD5,0.07350417951108641,0.07350417951108641,0.05213435887866639,0.05213435887866639
AL358334.2,-0.07335665667795802,0.07335665667795802,-0.028409356118321342,0.028409356118321342
NOP56P1,-0.07332180985903582,0.07332180985903582,0.0016960738690825542,0.0016960738690825542
ALPL,0.07325330543879875,0.07325330543879875,0.035117803666401486,0.035117803666401486
AC009549.1,-0.07314771230088646,0.07314771230088646,-0.05833485039835882,0.05833485039835882
AL138955.1,0.07296118177096796,0.07296118177096796,0.06435546731532056,0.06435546731532056
CTSD,-0.07276922561487019,0.07276922561487019,-0.011183536874209254,0.011183536874209254
RPSAP47,-0.0726716254014136,0.0726716254014136,-0.06343066778178166,0.06343066778178166
LINC02361,-0.07261219677822853,0.07261219677822853,0.0034982226001707664,0.0034982226001707664
RPS5P8,-0.07257106749131323,0.07257106749131323,-0.009536240811351787,0.009536240811351787
C5orf46,0.07245141393818606,0.07245141393818606,0.028054396643056888,0.028054396643056888
MRPL17,-0.07240141059717611,0.07240141059717611,-0.03464972489455777,0.03464972489455777
SNTG1,0.07208842961837762,0.07208842961837762,0.0026851590989316805,0.0026851590989316805
MIR4256,0.07194415499793776,0.07194415499793776,0.03640896642399094,0.03640896642399094
EIF2B1,0.07181462189811247,0.07181462189811247,0.04173220389133197,0.04173220389133197
MRPL10,-0.07159456797692532,0.07159456797692532,-0.0262292559877519,0.0262292559877519
KANSL1-AS1,0.07157489791931702,0.07157489791931702,0.07334081406884074,0.07334081406884074
RAB5C,0.07153101443879267,0.07153101443879267,0.0695936487356521,0.0695936487356521
AC061992.2,0.07145765803064852,0.07145765803064852,0.012179609615679163,0.012179609615679163
MTCO2P12,0.071231553615801,0.071231553615801,0.048391342900711405,0.048391342900711405
LDAH,-0.07084648706300352,0.07084648706300352,-0.06679328867048835,0.06679328867048835
