Feature,Coefficient,Abs_Coefficient
GATD3A,0.012705429574477779,0.012705429574477779
AL365357.1,0.012704165114666342,0.012704165114666342
RNA5SP465,0.012702594608763355,0.012702594608763355
KCNMA1,-0.012696751433825273,0.012696751433825273
YWHAQP6,0.012690646449413145,0.012690646449413145
CCT6P3,0.012670627488898634,0.012670627488898634
LPCAT2,-0.012666898058985795,0.012666898058985795
HMGN2P20,-0.012665220295632123,0.012665220295632123
EPO,0.012650348790332656,0.012650348790332656
ARX,0.012647119244180643,0.012647119244180643
ULBP2,0.012645343248562433,0.012645343248562433
EMX2OS,0.012643615618769179,0.012643615618769179
LPAR1,-0.012641717280120035,0.012641717280120035
TMEM120A,-0.01263871958661237,0.01263871958661237
AL132657.1,-0.012631153808626377,0.012631153808626377
AC138305.3,0.012625367705034396,0.012625367705034396
AC010624.1,-0.012617597986964336,0.012617597986964336
AL034374.1,0.012614942192421348,0.012614942192421348
AC100793.2,0.012609151122443416,0.012609151122443416
HSPE1P2,0.012607141792684117,0.012607141792684117
RBPMS,0.012602672329411424,0.012602672329411424
CFAP221,-0.01260060981950928,0.01260060981950928
RPL23AP32,0.012598520809866027,0.012598520809866027
FCN3,0.012595646473745009,0.012595646473745009
HSD11B1,-0.01259205896451983,0.01259205896451983
C15orf48,-0.0125906812914762,0.0125906812914762
SGCG,0.01258561177080578,0.01258561177080578
EIF5AL1,-0.012582696030565709,0.012582696030565709
ENO2,0.012573362185430368,0.012573362185430368
RPS14P8,0.01256426760326623,0.01256426760326623
RPL24P7,-0.012559313170791946,0.012559313170791946
AP002387.1,-0.012553962505423063,0.012553962505423063
S1PR3,-0.01255177835776075,0.01255177835776075
AC083906.5,0.012545817398980209,0.012545817398980209
RTBDN,0.012545540720073212,0.012545540720073212
RNA5SP532,-0.012542818634929639,0.012542818634929639
AC108073.1,-0.012538221518485245,0.012538221518485245
TUNAR,0.012528014219962622,0.012528014219962622
AC104212.2,-0.012519166434321063,0.012519166434321063
AC011509.1,-0.012511632815559151,0.012511632815559151
AC099681.2,0.012506686017535034,0.012506686017535034
AL591686.2,0.012505466396595041,0.012505466396595041
CDC37L1-DT,-0.01249686869014375,0.01249686869014375
ATP6V1H,0.012495880458055131,0.012495880458055131
AC104805.1,-0.0124934236724866,0.0124934236724866
AC092745.3,-0.012484282736960254,0.012484282736960254
RBM48,-0.012478948910881452,0.012478948910881452
AC136475.1,-0.012474762178868745,0.012474762178868745
AL135905.1,0.012470309966720196,0.012470309966720196
AC112694.2,-0.01246409929852301,0.01246409929852301
RNU6-1238P,0.012463768379078819,0.012463768379078819
RPS15P5,-0.01246217933511683,0.01246217933511683
SMC5-AS1,-0.012449947428514213,0.012449947428514213
SLFN13,0.012444790779423356,0.012444790779423356
